Distance,Similarity,Vote
2.324770534,0,0
2.419004099,0,0
2.473324017,0,0
2.828333605,0,0
2.70536097,0,0
1.786276565,0.015410694,0
2.326130571,0,0
3.17450713,0,0
2.50740801,0,0
3.960030376,0,0
2.507262491,0,0
4.800957996,0,0
3.359541745,0.025779933,0
2.964102228,0,0
2.94632931,0,0
2.149440499,0,0
2.563298068,0,0
4.006812991,0,0
5.385748183,0,0
2.389552448,0,0
1.880354219,0,0
2.836388105,0,0
4.380147979,0,0
2.959277568,0,0
2.49893923,0,0
4.991287388,0,0
2.915887959,0,0
2.808759938,0,0
2.791174273,0,0
3.646398854,0,0
3.551921024,0,0
2.377004196,0.049845896,0
2.140385072,0,0
5.164293411,0,0
2.537729677,0,0
1.685180615,0,0
4.422111912,0,0
3.859116228,0,0
3.872724115,0,0
7.839509555,0,0
2.506881496,0,0
5.664818606,0,0
2.154402186,0,0
3.043361998,0,0
1.518026842,0.0312684,0
2.82523973,0,0
2.487696219,0,0
2.911758246,0.006550333,0
2.209033597,0,0
2.33338162,0,0
3.148524071,0,0
2.484257324,0,0
2.227904613,0,0
3.096291602,0,0
2.774031985,0,0
2.469464971,0,0
3.335357212,0,0
2.54131005,0,0
1.990153612,0.059965437,0
3.479697731,0,0
1.781562684,0,0
4.488037096,0,0
2.456354491,0,0
5.786437449,0,0
2.841401324,0,0
2.786528657,0.087521766,0
1.87106058,0,0
2.270855196,0,0
3.3250816,0,0
3.441420238,0,0
3.900803544,0,0
4.467390901,0,0
2.066788732,0,0
3.477705666,0,0
2.265679085,0,0
3.071420234,0,0
1.108505674,0.07440387,0
2.269514034,0,0
2.118537818,0,0
2.602371209,0,0
3.26714389,0,0
2.443129479,0,0
2.92285204,0,0
5.303327054,0,0
2.58613541,0.052855554,0
2.112289585,0.076792961,1
2.755157354,01
2.311215205,01
3.026370549,01
2.081711888,0.006389565,1
1.787828043,0,1
1.512532379,0,1
2.358343871,0,1
2.324278315,0,1
3.261900547,0,1
2.146989252,0,1
2.770219159,0,1
2.120799655,0.069507771,1
2.261893064,0,1
1.379684192,0.032860339,1
2.399068717,0,1
2.092528155,0,1
2.806605683,0,1
2.378846929,0.288533436,1
2.157282401,0,1
1.454837124,0,1
2.726824228,0,1
1.54937533,0.085804505,1
2.74419882,0,1
2.20452617,0,1
2.507008442,0,1
2.070596523,0.119914127,1
2.118138383,0,1
2.55899747,0,1
1.601901186,0,1
2.583901963,0,1
2.168730108,0,1
2.22412325,0.032242559,1
1.97037132,0,1
1.594537544,0.168869821,1
2.249674567,0,1
3.032641835,0,1
1.733941162,0,1
2.440983502,0.016541665,1
3.146772217,0,1
2.008276157,0,1
1.769041824,0.160630605,1
2.231386384,0,1
2.080098988,0,1
1.334300439,0.014184783,1
4.276700075,0,1
1.331390579,0.055475029,1
2.389080321,0,1
3.353605185,0,1
1.744121142,0.006935892,1
1.610659097,0.010786745,1
2.098177571,0,1
2.411542171,0,1
1.720048627,0.010361831,1
1.674387484,0.114802426,1
1.008954717,0.032412565,1
2.853881967,0,1
3.036594514,0,1
2.423235891,0,1
2.093798774,0.009850226,1
1.3485258,0.078119535,2
1.674531571,0,2
1.584528867,0,2
2.211411656,0,2
2.150638256,0.053339433,2
1.453014291,0.040911326,2
1.487291854,0.010025957,2
1.872494429,0.253647342,2
1.470453802,0.051930686,2
1.786512331,0.066795904,2
1.76581234,0,2
2.041570073,0,2
4.149973875,0,2
1.883057322,0,2
1.191366502,0.00958208,2
1.964314363,0.056273686,2
1.75235851,0.006878373,2
1.682663432,0.00594239,2
2.359060439,0,2
2.294051252,0,2
1.183369721,0.03406671,2
2.208880453,0,2
1.628412946,0.014416688,2
2.27140065,0,2
1.85622708,0.204380855,2
2.244991892,0.062451823,2
2.084954415,0,2
1.885355635,0.066175633,2
2.209577227,0.013730401,2
2.042871071,0.159119273,2
2.007060786,0,2
1.435155488,0.363967117,2
1.793902448,0.025079893,2
2.589990093,0,2
1.105667681,0.203608352,2
1.802088323,0,2
2.607746661,0,2
1.306244733,0.030647609,2
1.384283583,0.101163075,2
2.11444185,0.030398365,2
1.346976687,0.286594577,2
1.961323554,0.137928585,2
1.540936616,0.051170166,2
1.526477637,0.056393917,2
2.944218106,0,2
1.960089198,0,2
1.559690628,0,2
3.093629794,0.397374435,2
1.487205481,0.297836953,2
1.909697905,0.005806327,2
1.986364251,0.058472474,2
1.260682917,0.020643335,3
1.919624055,0.118218915,3
1.051530389,0.145253011,3
1.849000245,0.024739825,3
1.697390416,0.017234338,3
2.494943817,0.329907902,3
2.589114459,0,3
2.759395816,0,3
1.899643213,0.205630669,3
1.514576829,0,3
1.696500334,0.131910751,3
1.598906933,0.021874104,3
1.537636352,0.096937805,3
0.913489733,0.523838273,3
1.280548358,0.168032258,3
2.220472368,0,3
1.924542979,0.249042675,3
1.670168608,0.415837919,3
1.766973461,0,3
1.56126294,0,3
2.457951003,0.038846435,3
1.638961235,0,3
1.804052624,0.022905724,3
